,0
age,40.00135308607709
last_contact_duration,257.22946952086875
campaign,2.575720778544912
passed_days,963.1721888769385
previous,0.17093987440585642
employment_variation_rate,0.0824549838670506
consumer_price_index,93.57427370502722
consumer_confidence_index,-40.49518787079763
euribor3m,3.623282864379142
number_of_employees,5167.151167470423
job_admin.,0.25413732088956736
job_blue-collar,0.22346736980883322
job_entrepreneur,0.03577004475592409
job_housemaid,0.025708635464733027
job_management,0.06990944731637928
job_retired,0.04208444644901641
job_self-employed,0.03452104222322451
job_services,0.09638136210665094
job_student,0.021371821115081707
job_technician,0.1633417756652673
job_unemployed,0.025431079346355343
job_unknown,0.007875654858966798
marital_divorced,0.11272247857613711
marital_married,0.6033723068382889
marital_single,0.2820664053013219
marital_unknown,0.0018388092842521596
education_basic.4y,0.10113451063386879
education_basic.6y,0.055511223675536896
education_basic.9y,0.14630676889983693
education_high.school,0.23203691496374423
education_illiterate,0.000555112236755369
education_professional.course,0.126218644832252
education_university.degree,0.2962911563681782
education_unknown,0.04194566838982757
default_no,0.791902300246331
default_unknown,0.2079936162092773
default_yes,0.00010408354439163168
housing_no,0.4522776948964369
housing_unknown,0.0243208548728446
housing_yes,0.5234014502307185
loan_no,0.8252090344516532
loan_unknown,0.0243208548728446
loan_yes,0.1504701106755022
contact_type_cellular,0.6370259861915831
contact_type_telephone,0.3629740138084169
month_apr,0.06432363043402838
month_aug,0.15137216806022968
month_dec,0.004267425320056899
month_jul,0.17492974360753566
month_jun,0.12819623217569304
month_mar,0.013287999167331645
month_may,0.3328938694792353
month_nov,0.09915692329042779
month_oct,0.017520729972591333
month_sep,0.014051278492870278
day_of_week_fri,0.18991777399993062
day_of_week_mon,0.20625889046941678
day_of_week_thu,0.20879159004961315
day_of_week_tue,0.19671789890018387
day_of_week_wed,0.19831384658085557
previous_outcome_failure,0.10238351316656837
previous_outcome_nonexistent,0.8650036429240537
previous_outcome_success,0.03261284390937793
